scope,feature,auc,n
overall,max_delta,0.5421934696128244,902
overall,mean_delta,0.5539948402851629,902
overall,final_drift,0.4671905155776123,902
overall,mean_drift,0.47858816810429716,902
overall,drift_rise,0.46993284493284493,902
HALLUCINATION,max_delta,0.44282387400364925,646
HALLUCINATION,mean_delta,0.4608722270239124,646
HALLUCINATION,final_drift,0.45739100163257473,646
HALLUCINATION,mean_drift,0.458663449534236,646
HALLUCINATION,drift_rise,0.49435801402093543,646
INTERFACE_INCONSISTENCIES,max_delta,0.46087266195961846,537
INTERFACE_INCONSISTENCIES,mean_delta,0.4629010281184194,537
INTERFACE_INCONSISTENCIES,final_drift,0.4720054502663198,537
INTERFACE_INCONSISTENCIES,mean_drift,0.47189706428836864,537
INTERFACE_INCONSISTENCIES,drift_rise,0.5060850984764028,537
PRIVACY_LEAKAGE,max_delta,0.7235945328617742,584
PRIVACY_LEAKAGE,mean_delta,0.754402446212791,584
PRIVACY_LEAKAGE,final_drift,0.37723806366047746,584
PRIVACY_LEAKAGE,mean_drift,0.42458738579428235,584
PRIVACY_LEAKAGE,drift_rise,0.36290708812260536,584
PROMPT_INJECTION,max_delta,0.5739737570723487,539
PROMPT_INJECTION,mean_delta,0.5485584446852052,539
PROMPT_INJECTION,final_drift,0.6340435777055495,539
PROMPT_INJECTION,mean_drift,0.623269531720236,539
PROMPT_INJECTION,drift_rise,0.5484230167328759,539
